transcript	gene	chr	tx_start	tx_end	bp	n_exons	p_all	p_syn	p_mis	p_lof
ENST00000307786.3	CALML6	1	1846719	1848632	546	6	1.93159161799676e-05	6.1259881974676e-06	1.1638394178e-05	1.5515338045e-06
ENST00000333172.6	TAS1R1	1	6615433	6639644	2526	6	8.48025132227152e-05	2.55781284177154e-05	5.39473620899998e-05	5.277022715e-06
ENST00000343813.5	ICMT	1	6285139	6295971	855	5	1.27135973351124e-05	4.06323177126845e-06	7.55618677191007e-06	1.09417879193385e-06
ENST00000379389.4	ISG15	1	948953	949858	498	2	2.3551075531813e-05	8.19340256731304e-06	1.4391840616e-05	9.658323485e-07
ENST00000196061.4	PLOD1	1	11994836	12034865	2184	19	9.5490879469825e-05	2.7901044313325e-05	5.9800247888e-05	7.7895872685e-06
ENST00000378156.4	NPHP4	1	5923324	6046349	4281	29	0.000183920387055632	5.71727799486314e-05	0.000113852177026001	1.2895430081e-05
ENST00000378891.5	DVL1	1	1271521	1284445	2013	15	9.84440526448762e-05	3.01537784074672e-05	6.29649853181223e-05	5.32528891928664e-06
ENST00000344843.7	MRPL20	1	1337462	1342597	450	4	1.86468412081046e-05	4.96716036510456e-06	1.0910696916e-05	2.768983927e-06
ENST00000343938.4	GLTPD1	1	1262290	1263143	645	2	2.32242356822058e-05	7.447271545698e-06	1.49790286684436e-05	7.97935468064202e-07
ENST00000294485.5	DRAXIN	1	11766315	11779753	1050	6	4.09591330463401e-05	1.16110366618403e-05	2.58509758779998e-05	3.4971205065e-06
ENST00000234590.4	ENO1	1	8921418	8934967	1305	11	4.35789193355281e-05	1.32761445195283e-05	2.72044705739998e-05	3.098304242e-06
ENST00000376810.5	UBIAD1	1	11333588	11346188	1017	2	3.54444604315727e-05	1.18221613910727e-05	2.1463805384e-05	2.1584936565e-06
ENST00000378546.4	C1orf86	1	2121147	2126188	543	4	9.02106534194765e-06	2.75161106735621e-06	5.65388446984176e-06	6.15569804749676e-07
ENST00000354287.4	FBXO2	1	11708750	11714397	891	6	1.22343202201502e-05	4.2394582795899e-06	7.32016226463294e-06	6.74699675927367e-07
ENST00000376223.2	DHRS3	1	12628368	12677353	909	6	3.90622084281801e-05	1.21758007556801e-05	2.5208368288e-05	1.6780393845e-06
ENST00000376221.1	AADACL4	1	12704565	12726746	1224	4	3.91407370400767e-05	1.07347389485767e-05	2.5943882884e-05	2.4621152075e-06
ENST00000377834.4	HES2	1	6478932	6479880	522	4	8.62794519363737e-06	2.94823119491105e-06	5.35440014020233e-06	3.25313858523995e-07
ENST00000537245.1	PLEKHG5	1	6527622	6557091	3258	22	0.00012550087665667	3.73960897302327e-05	8.00737940726587e-05	8.03099285377823e-06
ENST00000317869.6	HNRNPCL1	1	12907260	12908142	882	1	2.69449293662321e-05	6.61849162023206e-06	1.7568666342e-05	2.757771404e-06
ENST00000597060.1	AL590822.2	1	2121489	2122032	543	1	6.35869004106081e-06	1.51892287770672e-06	4.32069798224643e-06	5.19069181107652e-07
ENST00000377320.3	C1orf200	1	9713836	9714494	504	2	8.78850327394999e-06	2.30959911577878e-06	6.00747241950195e-06	4.71431738669261e-07
ENST00000377482.5	ERRFI1	1	8073269	8075679	1389	3	3.99307953770558e-05	1.06126600590558e-05	2.5664563766e-05	3.653571552e-06
ENST00000378191.4	AJAP1	1	4715485	4834559	1236	5	4.34790013059407e-05	1.37619814990665e-05	2.71487057207523e-05	2.56831408612192e-06
ENST00000376936.4	EXOSC10	1	11126774	11159888	2658	25	8.97570195880272e-05	2.43660784570272e-05	5.473478547e-05	1.0656155661e-05
ENST00000602787.1	APITD1	1	10490574	10511652	495	5	1.2831910737698e-05	3.22225642269802e-06	7.02597781000002e-06	2.583676505e-06
ENST00000379290.1	TTLL10	1	1114595	1133227	2022	13	2.68961271079226e-05	8.17542862056676e-06	1.71619141347921e-05	1.55878435256377e-06
ENST00000449969.1	PLCH2	1	2399058	2435066	3390	22	4.75003667910035e-05	1.41224171526377e-05	3.06112223892193e-05	2.76672724914656e-06
ENST00000378609.4	GNB1	1	1718769	1756892	1023	9	4.26936514825809e-05	1.25382595835809e-05	2.6365237588e-05	3.790154311e-06
ENST00000378536.4	SKI	1	2160205	2238204	2187	7	3.19198163085648e-05	1.106325128354e-05	1.96086000091934e-05	1.24796501583139e-06
ENST00000356575.4	MEGF6	1	3407091	3527832	4626	37	5.65491294554222e-05	1.82415905175359e-05	3.41572251437825e-05	4.15031379410377e-06
ENST00000054650.4	THAP3	1	6685278	6693137	720	5	2.6452728114496e-05	7.34028270508421e-06	1.74018672163675e-05	1.71057819304431e-06
ENST00000377828.1	ESPN	1	6485015	6520206	2565	13	3.64034638591028e-05	1.29908799398446e-05	2.19655338427083e-05	1.44705007654994e-06
ENST00000302692.6	SLC25A33	1	9599750	9642559	966	7	3.19301718337074e-05	8.7495134877074e-06	2.0637930654e-05	2.542727692e-06
ENST00000377049.3	CORT	1	10510280	10511652	318	2	1.31762383251151e-05	3.97034024861512e-06	8.10851605e-06	1.0973820265e-06
ENST00000376468.3	NPPB	1	11917711	11918890	405	3	1.66051184009619e-05	4.25627978896194e-06	1.1012197892e-05	1.33664072e-06
ENST00000377223.1	LZIC	1	9990456	9996677	573	6	1.24440695762571e-05	2.96746745275708e-06	7.97188092400002e-06	1.5047211995e-06
ENST00000377346.4	PIK3CD	1	9770513	9787104	3135	22	0.0001319952784548	4.01905415118e-05	8.27291455380002e-05	9.075591405e-06
ENST00000377205.1	NMNAT1	1	10032131	10042759	840	4	2.17790659026546e-05	5.5308545796546e-06	1.4454461596e-05	1.793749727e-06
ENST00000378251.1	LRRC47	1	3697651	3713040	1752	7	2.54054048051432e-05	8.37268191977144e-06	1.58497811651069e-05	1.18294172026481e-06
ENST00000376957.2	SRM	1	11114921	11120000	909	8	3.84114432866529e-05	1.28076620948172e-05	2.30737204950636e-05	2.53006069677216e-06
ENST00000235349.5	PRAMEF4	1	12939364	12943215	1437	3	3.47365175418167e-05	9.06528728824987e-06	2.33882672448457e-05	2.28296300872114e-06
ENST00000263932.2	TNFRSF8	1	12123655	12202588	1788	15	7.6892873493144e-05	2.3709638579644e-05	4.639893056e-05	6.7843043535e-06
ENST00000377898.3	HES3	1	6304425	6305567	561	3	8.25295299174109e-06	2.7940977551263e-06	5.15446163536187e-06	3.04393601252918e-07
ENST00000376770.1	FBXO44	1	11715892	11721330	768	5	3.61297893371583e-05	1.18676414771583e-05	2.1306278064e-05	2.955869796e-06
ENST00000240185.3	TARDBP	1	11073784	11082711	1245	5	3.78675886989053e-05	1.04360160634053e-05	2.3989048076e-05	3.4425245595e-06
ENST00000355716.4	TNFRSF14	1	2488103	2494712	852	8	3.17063034708646e-05	1.03530091151336e-05	1.92784195324012e-05	2.07487482332987e-06
ENST00000377263.1	CTNNBIP1	1	9910775	9932122	246	3	7.0221310122269e-06	2.11815680522236e-06	4.15289816647211e-06	7.51076040532425e-07
ENST00000361605.3	C1orf174	1	3806523	3816750	732	4	2.7516588414694e-05	8.20633691019402e-06	1.666292917e-05	2.6473223345e-06
ENST00000303635.7	CAMTA1	1	6845590	7826551	5022	23	0.000196340816654427	6.0913839443426e-05	0.000120640000072001	1.4786977139e-05
ENST00000379370.2	AGRN	1	955552	990361	6138	36	8.34996934959566e-05	2.75700980192023e-05	5.15897826464949e-05	4.3398128302594e-06
ENST00000263934.6	KIF1B	1	10292386	10436645	5313	46	0.000172382149225802	4.22745948708012e-05	0.000109466282476001	2.0641271879e-05
ENST00000262450.3	CHD5	1	6166339	6240083	5865	41	0.000241719423071676	7.6215638821674e-05	0.000148153777096002	1.7350007154e-05
ENST00000505820.2	MIB2	1	1550839	1565910	3213	20	4.69952992071786e-05	1.52447900145739e-05	2.93562475529964e-05	2.3942616396083e-06
ENST00000338370.3	AURKAIP1	1	1309180	1310136	600	3	1.99324724967405e-05	5.91255740398398e-06	1.31103653145162e-05	9.0954977824038e-07
ENST00000377855.2	ACOT7	1	6324656	6445726	1143	9	5.10190835206001e-05	1.57211618626001e-05	3.2122446424e-05	3.175475234e-06
ENST00000294600.2	CCDC27	1	3669045	3688087	1971	12	6.96673447574068e-05	2.11362300084068e-05	4.1406373954e-05	7.124740795e-06
ENST00000361923.2	PER3	1	7844937	7902815	3606	21	0.000123005272496409	3.67772545329094e-05	7.6536900688e-05	9.69111727550002e-06
ENST00000338591.3	KLHL17	1	896073	900571	1929	12	0.000107678399665885	3.55040545278852e-05	6.61014426460002e-05	6.072902492e-06
ENST00000376819.3	ANGPTL7	1	11249636	11255080	1041	5	3.47263753385142e-05	8.88984585401444e-06	2.26335957959998e-05	3.2029336885e-06
ENST00000314340.5	AGTRAP	1	11796265	11810249	480	5	1.9255087564275e-05	5.470503366275e-06	1.2312678584e-05	1.471905614e-06
ENST00000540437.1	CPSF3L	1	1247238	1257333	1821	17	5.87859916977032e-05	1.77703597058381e-05	3.61820800445897e-05	4.8335519472754e-06
ENST00000377298.4	CLSTN1	1	9790565	9883791	2946	19	0.00012234866596407	3.99882095370694e-05	7.38725906820002e-05	8.487865745e-06
ENST00000240189.2	PRAMEF2	1	12918864	12921634	1425	3	4.02876213109233e-05	1.20313520489233e-05	2.550889487e-05	2.747374392e-06
ENST00000419916.2	FAM213B	1	2518234	2520866	687	7	9.89020585682932e-06	3.28065071072123e-06	6.10896166265111e-06	5.00593483456982e-07
ENST00000378466.3	PANK4	1	2440285	2458026	2322	19	0.000110535554585312	3.7250348655812e-05	6.727473275e-05	6.0104731795e-06
ENST00000378785.2	ATAD3C	1	1386063	1403910	1236	12	5.91609659544214e-05	1.80035993409214e-05	3.7389852724e-05	3.7675138895e-06
ENST00000378404.2	ACTRT2	1	2938250	2939384	1134	1	4.59672969746026e-05	1.61445317516026e-05	2.8096600416e-05	1.726164807e-06
ENST00000378412.3	MMEL1	1	2522428	2560923	2340	23	0.000102057089440935	3.03565133924346e-05	6.14140122620004e-05	1.02865637865e-05
ENST00000309212.6	MXRA8	1	1288983	1293884	1329	10	2.14766791894125e-05	7.36091355199614e-06	1.30529790008198e-05	1.06278663659663e-06
ENST00000433179.2	C1orf170	1	911551	917497	2091	5	2.20471999391644e-05	7.0067539442383e-06	1.39016610828431e-05	1.13878491208301e-06
ENST00000327044.6	NOC2L	1	880073	894620	2250	19	9.28734927145672e-05	2.81516451680672e-05	5.7513980802e-05	7.20786674450002e-06
ENST00000378344.2	TPRG1L	1	3541636	3545167	819	5	3.73475543325364e-05	1.19804544716171e-05	2.29023350545214e-05	2.46476480639797e-06
ENST00000291386.3	SSU72	1	1477445	1509937	585	5	2.29235330876579e-05	7.23042259115792e-06	1.3948207358e-05	1.7449031385e-06
ENST00000294435.7	RBP7	1	10057316	10075890	405	4	1.1667943033387e-05	3.29088884888702e-06	7.31383075800002e-06	1.0632234265e-06
ENST00000605895.1	RER1	1	2327229	2334563	591	6	2.22060013873835e-05	6.4733922463835e-06	1.3104951694e-05	2.627657447e-06
ENST00000378567.3	PRKCZ	1	1982069	2116448	1779	18	7.9132579039345e-05	2.61066647283448e-05	4.82558134920002e-05	4.770100819e-06
ENST00000328089.6	SPSB1	1	9415950	9427634	822	2	3.6886356852322e-05	1.1506435116322e-05	2.287125326e-05	2.508668476e-06
ENST00000401095.3	TTC34	1	2572806	2706156	1701	7	1.91716567595636e-05	6.05983686300071e-06	1.20156205627704e-05	1.09619933379248e-06
ENST00000377782.3	TNFRSF25	1	6521493	6526167	1281	10	5.83581889391882e-05	1.77159780446882e-05	3.6580519858e-05	4.0616910365e-06
ENST00000342066.3	SAMD11	1	861321	879533	2046	13	2.58077262956075e-05	8.29595486819366e-06	1.57252543444151e-05	1.7865170829987e-06
ENST00000340381.6	TMEM201	1	9648988	9673141	2001	11	4.05925436796952e-05	1.32421970188651e-05	2.50874775218331e-05	2.26286913899697e-06
ENST00000377939.4	RNF207	1	6266595	6279467	1905	17	3.20782400228479e-05	1.03542842974337e-05	1.9343092058703e-05	2.3808636667112e-06
ENST00000379116.5	SCNN1D	1	1216041	1226990	2409	18	2.69437366475037e-05	8.5709140675581e-06	1.65390050710351e-05	1.83381750891051e-06
ENST00000235332.4	MIIP	1	12081783	12091865	1167	9	4.63204060595891e-05	1.28883456795891e-05	2.9186756584e-05	4.245303796e-06
ENST00000378295.4	TP73	1	3598929	3649643	1911	13	8.3011996285845e-05	2.68960867788556e-05	5.14058019464029e-05	4.71010756058647e-06
ENST00000377403.2	H6PD	1	9304993	9324928	2376	4	9.6841154987052e-05	2.9451633653552e-05	6.1605161588e-05	5.7843597455e-06
ENST00000379410.3	PLEKHN1	1	901911	909955	1836	16	5.01823621584109e-05	1.56163490194294e-05	3.08271382297753e-05	3.73887490920623e-06
ENST00000377038.3	DFFA	1	10521546	10532515	996	6	3.49061071830198e-05	1.04116797765198e-05	2.1875835488e-05	2.6185919185e-06
ENST00000377411.4	GPR157	1	9164477	9189086	1008	4	3.09312795909427e-05	1.0825194238245e-05	1.87713300682179e-05	1.3347552844799e-06
ENST00000377022.3	CASZ1	1	10698998	10753946	5280	18	0.000253277359141208	9.03236499045761e-05	0.000152748510315668	1.02051989209642e-05
ENST00000332296.7	PRAMEF1	1	12853376	12856145	1425	3	4.10914259164949e-05	1.12488350204949e-05	2.7091373396e-05	2.7512175e-06
ENST00000377004.4	C1orf127	1	11007719	11042094	2472	12	5.29066380493056e-05	1.53329964815132e-05	3.24290996323943e-05	5.14454193539818e-06
ENST00000308647.7	ATAD3B	1	1407264	1431197	1947	16	9.5355314009449e-05	2.89959052184546e-05	5.97229991594293e-05	6.63640963156507e-06
ENST00000358136.3	VPS13D	1	12294323	12569078	13167	69	0.0003951163366921	0.000101343001599606	0.000250940333663994	4.28330014285e-05
ENST00000294484.6	PTCHD2	1	11561049	11596743	4179	20	0.000183575163595005	5.70688881430038e-05	0.000115213538528001	1.1292736924e-05
ENST00000433342.1	C1orf167	1	11821843	11849503	4422	21	4.25182743766458e-05	1.09418899438438e-05	2.68349930286489e-05	4.74139140415305e-06
ENST00000270722.5	PRDM16	1	2985823	3350375	3831	17	0.000180831105807195	6.26500209586942e-05	0.000108967091266001	9.21399358250002e-06
ENST00000357726.4	PRAMEF12	1	12835010	12837742	1452	3	4.2146368163885e-05	1.18728049053852e-05	2.68836445459998e-05	3.3899187125e-06
ENST00000400930.4	UBE2J2	1	1190582	1203372	828	7	3.37540167047931e-05	1.13151110652931e-05	1.9636508076e-05	2.8023975635e-06
ENST00000377705.5	NOL9	1	6585913	6614562	2109	12	7.8802939033297e-05	2.15704192402968e-05	5.10943928660002e-05	6.138126927e-06
ENST00000376753.4	FBXO6	1	11728715	11733908	882	5	3.36299755194008e-05	9.35481374240076e-06	2.0659384024e-05	3.615777753e-06
ENST00000361445.4	MTOR	1	11167541	11319466	7650	57	0.000257193013768841	6.46852000083418e-05	0.000162576032801999	2.99317809585e-05
ENST00000288774.3	PEX10	1	2337204	2343941	1041	6	4.31464881891071e-05	1.30456239213524e-05	2.70502822351007e-05	3.05058203265391e-06
ENST00000378755.5	ATAD3A	1	1447648	1469452	1905	16	3.20898692713259e-05	9.80547078195359e-06	1.99967263900009e-05	2.28767209937138e-06
ENST00000400809.3	CCNL2	1	1322610	1334686	1563	11	7.3957155045648e-05	2.0770937531648e-05	4.7108449354e-05	6.07776816e-06
ENST00000493678.1	PARK7	1	8022845	8045114	570	6	1.75289604891911e-05	4.64315504069112e-06	1.1471292014e-05	1.4145134345e-06
ENST00000235310.3	MAD2L2	1	11734831	11740658	636	8	2.70522992501022e-05	8.18304363810218e-06	1.660822652e-05	2.261029092e-06
ENST00000444870.2	SMIM1	1	3691937	3692485	237	2	3.1383544398451e-06	9.72330879141684e-07	1.97129421984609e-06	1.94729340857328e-07
ENST00000400900.2	APITD1-CORT	1	10490574	10511652	495	5	1.7412423934355e-05	4.61848091985498e-06	1.0497208462e-05	2.2967345525e-06
ENST00000356607.4	PEX14	1	10535023	10690044	1134	9	4.72356021302913e-05	1.53716492677913e-05	2.7459275886e-05	4.4046769765e-06
ENST00000378209.3	DFFB	1	3774167	3800305	1017	7	3.98916981441512e-05	1.11278391026512e-05	2.5878187576e-05	2.8856714655e-06
ENST00000377674.4	ZBTB48	1	6640669	6649272	2067	10	7.48987828856404e-05	2.14670536241406e-05	4.75410901939998e-05	5.8906390675e-06
ENST00000378733.4	TMEM240	1	1470738	1475726	522	4	1.03275804404372e-05	3.51079204164338e-06	6.23223985130479e-06	5.84548547488975e-07
ENST00000535591.1	PRAMEF11	1	12884799	12888523	1311	3	3.18295337469829e-05	8.51341636285273e-06	2.11322685490393e-05	2.18384883509079e-06
ENST00000343090.6	UBE4B	1	10093728	10240014	3909	28	0.000118576339846016	3.09457412420158e-05	7.6138615498e-05	1.1491983106e-05
ENST00000376480.3	NPPA	1	11906065	11907741	456	3	1.60123210896671e-05	4.7406014216671e-06	1.01705961e-05	1.101123568e-06
ENST00000377658.4	KLHL21	1	6653424	6662877	1794	4	2.85995683352872e-05	9.77330697264119e-06	1.76326310106252e-05	1.19363035202075e-06
ENST00000377648.4	PHF13	1	6674126	6681697	903	4	3.65798616946767e-05	1.07189168581767e-05	2.3507425436e-05	2.3535194005e-06
ENST00000359318.5	AADACL3	1	12779479	12785963	1053	3	3.17403407937491e-05	9.0307275047491e-06	2.0797169058e-05	1.912444231e-06
ENST00000378531.3	MORN1	1	2252821	2322972	1494	14	2.71690384509075e-05	9.0041992378621e-06	1.6358969742179e-05	1.80586947086641e-06
ENST00000400906.1	SLC2A7	1	9063358	9086404	1539	12	5.88616896675857e-05	1.92067622851801e-05	3.5780205547981e-05	3.87472183442456e-06
ENST00000288048.5	C1orf158	1	12806378	12820884	585	4	1.76185469431414e-05	4.91048654864146e-06	1.1126575708e-05	1.5814846865e-06
ENST00000270708.7	WRAP73	1	3547538	3566563	1383	12	5.93225253459304e-05	1.94305391534304e-05	3.5408147912e-05	4.4838382805e-06
ENST00000378230.3	CEP104	1	3731965	3768971	2778	21	9.36348382165148e-05	2.54906923555148e-05	5.8457881748e-05	9.686264113e-06
ENST00000354700.5	ACAP3	1	1228943	1243195	2505	24	3.14171966676831e-05	1.01787018187439e-05	1.95073312294891e-05	1.73116361945006e-06
ENST00000376005.3	C1orf195	1	15494990	15497774	381	2	3.52194477338144e-06	8.77214310803617e-07	2.2712548811016e-06	3.73475581476221e-07
ENST00000326279.6	LIN28A	1	26737382	26752949	630	4	2.64857671678949e-05	8.36056433689488e-06	1.6493208336e-05	1.631994495e-06
ENST00000264198.3	MUL1	1	20827182	20834517	1059	4	3.92993374861664e-05	1.11301030256664e-05	2.4854485264e-05	3.3147491965e-06
ENST00000375605.2	C1orf134	1	16555367	16556038	252	2	2.10491073776752e-06	5.2208171717694e-07	1.35751064968439e-06	2.25318370906182e-07
ENST00000375995.3	FHAD1	1	15632282	15656072	756	6	5.84425210254011e-05	1.71492720435593e-05	3.57266352909641e-05	5.56661369087767e-06
ENST00000375105.3	PLA2G2D	1	20440606	20445991	438	4	1.39000569173357e-05	3.46734572933568e-06	8.66368172600002e-06	1.769029462e-06
ENST00000323848.9	SRRM1	1	24969817	24998777	2715	17	9.96652643301076e-05	2.11383592026076e-05	6.3367273496e-05	1.51596316315e-05
ENST00000375535.3	MFAP2	1	17301414	17304768	552	8	7.45035243221839e-06	2.11693199453486e-06	4.5901440834345e-06	7.43276354249027e-07
ENST00000374555.3	MDS2	1	23956044	23967039	423	4	3.80083513901353e-06	1.00311000135378e-06	2.45607052576394e-06	3.41654611895806e-07
ENST00000375371.3	TAS1R2	1	19166092	19186154	2520	6	9.8080639545653e-05	2.99168789866528e-05	6.28471061000002e-05	5.316654459e-06
ENST00000536471.1	CNR2	1	24201024	24202107	1083	1	3.05361621394214e-05	8.4515121764214e-06	1.9816509768e-05	2.268140195e-06
ENST00000302291.4	LUZP1	1	23415387	23420754	3231	2	9.67041436661992e-05	2.54750717786994e-05	6.15212351879998e-05	9.70783669949998e-06
ENST00000361771.3	WDTC1	1	27587545	27632874	2031	15	7.65405215656568e-05	2.06687709891568e-05	4.971153114e-05	6.1602194365e-06
ENST00000344548.3	CDC42	1	22404971	22418010	576	5	1.65814889927066e-05	4.58520202320656e-06	1.0268403036e-05	1.7278839335e-06
ENST00000375460.3	PADI3	1	17575632	17609574	1995	16	7.1680465680128e-05	2.0917517589128e-05	4.6262400054e-05	4.500548037e-06
ENST00000321556.4	PINK1	1	20960041	20977184	1746	8	7.74105308205912e-05	2.32668540905912e-05	4.8388444028e-05	5.755232702e-06
ENST00000294543.6	TMCO4	1	20009532	20107251	1905	13	7.18606333724872e-05	2.18453268634874e-05	4.36095292399998e-05	6.405777269e-06
ENST00000374616.3	HNRNPR	1	23636946	23667501	1911	10	5.58885728523538e-05	1.3741011187854e-05	3.71123921619998e-05	5.0351695025e-06
ENST00000375121.2	RNF186	1	20140910	20141594	684	1	2.50110849216685e-05	7.5806339731685e-06	1.583715467e-05	1.5932962785e-06
ENST00000375436.4	RCC2	1	17735585	17765010	1569	12	7.27637149253668e-05	2.27448709353668e-05	4.3836730784e-05	6.182113206e-06
ENST00000289166.5	FAM46B	1	27332434	27339161	1278	2	5.73429792709593e-05	1.77796972222384e-05	3.70933816179317e-05	2.46990043078923e-06
ENST00000602662.1	MINOS1-NBL1	1	19981523	19983622	546	3	1.86577902340454e-05	6.2621389632521e-06	1.13477658816169e-05	1.04788538917639e-06
ENST00000375679.4	CLCNKB	1	16370987	16383411	2064	19	7.59598489467526e-05	2.21282747342526e-05	4.737712802e-05	6.4544461925e-06
ENST00000374642.3	C1QA	1	22964109	22965900	738	2	2.93337487112992e-05	8.40935113479922e-06	1.843445491e-05	2.4899426665e-06
ENST00000251296.1	IGSF21	1	18434622	18704820	1404	10	6.58926752205049e-05	1.93053006105049e-05	4.2384257442e-05	4.203117168e-06
ENST00000166244.3	EPHA8	1	22890128	22928234	3018	17	0.000148359239512679	4.48178403236792e-05	9.45726957300002e-05	8.968703459e-06
ENST00000375448.4	PADI4	1	17634717	17690250	1992	16	7.16567577474278e-05	2.2613137347928e-05	4.40449566719998e-05	4.9986637275e-06
ENST00000375078.3	CAMK2N1	1	20810141	20811872	237	2	5.72833240517895e-06	2.09451007660134e-06	3.43496692347601e-06	1.988554051016e-07
ENST00000374632.3	EPHB2	1	23037475	23240063	2964	16	0.000128468022008358	3.83332910703574e-05	8.30815985620002e-05	7.053132376e-06
ENST00000375048.3	DDOST	1	20978871	20987894	1371	11	5.16202137736607e-05	1.60389773726607e-05	3.2271557324e-05	3.309679077e-06
ENST00000374266.5	ZNF593	1	26496474	26497207	405	3	5.70390793969825e-06	1.57897893115869e-06	3.54970530997665e-06	5.75223698562905e-07
ENST00000374272.3	TRIM63	1	26378363	26393985	1062	9	3.44712849435105e-05	9.4805403785105e-06	2.191216552e-05	3.078579045e-06
ENST00000374395.4	RCAN3	1	24840862	24861767	726	4	1.87887282977368e-05	5.76022620352477e-06	1.11956975841764e-05	1.83280451003567e-06
ENST00000375799.3	PLEKHM2	1	16011053	16060429	3060	20	5.35873476824885e-05	1.67863890586233e-05	3.28325441893646e-05	3.96841443450065e-06
ENST00000480945.1	DDI2	1	15944165	15983128	1200	9	4.16422449058011e-05	1.04038085113011e-05	2.6496982414e-05	4.7414539805e-06
ENST00000289753.1	HTR6	1	19992246	20005861	1323	3	6.51101868450143e-05	2.29612294123467e-05	4.03209134142931e-05	1.82804401837441e-06
ENST00000426559.2	STMN1	1	26212213	26231167	525	4	1.38909909421889e-05	2.85798796118888e-06	8.716626968e-06	2.316376013e-06
ENST00000322753.6	MINOS1	1	19923539	19952895	237	4	7.90906752034448e-06	2.27730578334448e-06	4.829175688e-06	8.02586049e-07
ENST00000350501.5	GRHL3	1	24646041	24690861	1881	16	6.02347880670411e-05	1.76619659610413e-05	3.83361494979998e-05	4.236672608e-06
ENST00000374276.3	SLC30A2	1	26365650	26372387	1119	8	3.88452511556051e-05	1.16525620421051e-05	2.4053704228e-05	3.1389848855e-06
ENST00000374343.4	TMEM57	1	25757589	25824957	1995	11	6.0971161520519e-05	1.60526398850193e-05	3.84638857899996e-05	6.45463584550002e-06
