transcript	gene	chr	tx_start	tx_end	bp	n_exons	p_all	p_syn	p_mis	p_lof
ENST00000378585.4	GABRD	1	1950862	1961721	1359	9	3.47908183555761e-05	1.1570376991826e-05	2.14861193780001e-05	1.73432198575e-06
ENST00000328596.6	TNFRSF18	1	1138970	1141951	768	4	5.00030900055289e-06	1.69810520120658e-06	2.94929570674449e-06	3.52908092601816e-07
ENST00000344463.4	NADK	1	1684342	1696845	1776	13	3.44465156304601e-05	1.10780399617703e-05	2.09515166344825e-05	2.41695903420731e-06
ENST00000360001.6	SDF4	1	1152891	1164173	1089	6	2.56376584837344e-05	8.89740041423427e-06	1.54133326940001e-05	1.3269253755e-06
ENST00000339381.5	TAS1R3	1	1266725	1269844	2559	6	5.40387032746162e-05	1.80497320526107e-05	3.33576580852443e-05	2.63131313676124e-06
ENST00000235329.5	MFN2	1	12049225	12071622	2274	17	3.86765759301224e-05	9.96887558837239e-06	2.5151751517e-05	3.55594882475e-06
ENST00000270776.8	PGD	1	10459174	10479806	1452	13	2.49165749139396e-05	7.50988000843963e-06	1.5273032779e-05	2.1336621265e-06
ENST00000377424.4	SLC2A5	1	9097644	9129595	1506	12	3.16577260480373e-05	1.08817173097873e-05	1.8981713197e-05	1.79429554125e-06
ENST00000471889.1	SLC45A1	1	8384389	8404073	2247	8	5.22303328212309e-05	1.80334450102308e-05	3.13649097520001e-05	2.831978059e-06
ENST00000307786.3	CALML6	1	1846719	1848632	546	6	9.6579580899838e-06	3.0629940987338e-06	5.819197089e-06	7.7576690225e-07
ENST00000333172.6	TAS1R1	1	6615433	6639644	2526	6	4.24012566113576e-05	1.27890642088577e-05	2.69736810449999e-05	2.6385113575e-06
ENST00000343813.5	ICMT	1	6285139	6295971	855	5	6.35679866755619e-06	2.03161588563422e-06	3.77809338595504e-06	5.47089395966926e-07
ENST00000379389.4	ISG15	1	948953	949858	498	2	1.17755377659065e-05	4.09670128365652e-06	7.195920308e-06	4.8291617425e-07
ENST00000196061.4	PLOD1	1	11994836	12034865	2184	19	4.77454397349125e-05	1.39505221566625e-05	2.9900123944e-05	3.89479363425e-06
ENST00000378156.4	NPHP4	1	5923324	6046349	4281	29	9.19601935278161e-05	2.85863899743157e-05	5.69260885130004e-05	6.44771504050001e-06
ENST00000378891.5	DVL1	1	1271521	1284445	2013	15	4.92220263224381e-05	1.50768892037336e-05	3.14824926590611e-05	2.66264445964332e-06
ENST00000344843.7	MRPL20	1	1337462	1342597	450	4	9.32342060405228e-06	2.48358018255228e-06	5.455348458e-06	1.3844919635e-06
ENST00000343938.4	GLTPD1	1	1262290	1263143	645	2	1.16121178411029e-05	3.723635772849e-06	7.48951433422179e-06	3.98967734032101e-07
ENST00000294485.5	DRAXIN	1	11766315	11779753	1050	6	2.04795665231701e-05	5.80551833092016e-06	1.29254879389999e-05	1.74856025325e-06
ENST00000234590.4	ENO1	1	8921418	8934967	1305	11	2.17894596677641e-05	6.63807225976417e-06	1.36022352869999e-05	1.549152121e-06
ENST00000376810.5	UBIAD1	1	11333588	11346188	1017	2	1.77222302157864e-05	5.91108069553636e-06	1.0731902692e-05	1.07924682825e-06
ENST00000378546.4	C1orf86	1	2121147	2126188	543	4	4.51053267097383e-06	1.37580553367811e-06	2.82694223492088e-06	3.07784902374838e-07
ENST00000354287.4	FBXO2	1	11708750	11714397	891	6	6.1171601100751e-06	2.11972913979495e-06	3.66008113231647e-06	3.37349837963683e-07
ENST00000376223.2	DHRS3	1	12628368	12677353	909	6	1.953110421409e-05	6.08790037784003e-06	1.2604184144e-05	8.3901969225e-07
ENST00000376221.1	AADACL4	1	12704565	12726746	1224	4	1.95703685200384e-05	5.36736947428836e-06	1.2971941442e-05	1.23105760375e-06
ENST00000377834.4	HES2	1	6478932	6479880	522	4	4.31397259681869e-06	1.47411559745552e-06	2.67720007010117e-06	1.62656929261997e-07
ENST00000537245.1	PLEKHG5	1	6527622	6557091	3258	22	6.27504383283348e-05	1.86980448651163e-05	4.00368970363294e-05	4.01549642688911e-06
ENST00000317869.6	HNRNPCL1	1	12907260	12908142	882	1	1.3472464683116e-05	3.30924581011603e-06	8.784333171e-06	1.378885702e-06
ENST00000597060.1	AL590822.2	1	2121489	2122032	543	1	3.1793450205304e-06	7.59461438853362e-07	2.16034899112322e-06	2.59534590553826e-07
ENST00000377320.3	C1orf200	1	9713836	9714494	504	2	4.39425163697499e-06	1.15479955788939e-06	3.00373620975097e-06	2.3571586933463e-07
ENST00000377482.5	ERRFI1	1	8073269	8075679	1389	3	1.99653976885279e-05	5.30633002952791e-06	1.2832281883e-05	1.826785776e-06
ENST00000378191.4	AJAP1	1	4715485	4834559	1236	5	2.17395006529703e-05	6.88099074953323e-06	1.35743528603761e-05	1.28415704306096e-06
ENST00000376936.4	EXOSC10	1	11126774	11159888	2658	25	4.48785097940136e-05	1.21830392285136e-05	2.7367392735e-05	5.32807783050001e-06
ENST00000602787.1	APITD1	1	10490574	10511652	495	5	6.41595536884902e-06	1.61112821134901e-06	3.51298890500001e-06	1.2918382525e-06
ENST00000379290.1	TTLL10	1	1114595	1133227	2022	13	1.34480635539613e-05	4.08771431028338e-06	8.58095706739605e-06	7.79392176281885e-07
ENST00000449969.1	PLCH2	1	2399058	2435066	3390	22	2.37501833955018e-05	7.06120857631884e-06	1.53056111946096e-05	1.38336362457328e-06
ENST00000378609.4	GNB1	1	1718769	1756892	1023	9	2.13468257412905e-05	6.26912979179045e-06	1.3182618794e-05	1.8950771555e-06
ENST00000378536.4	SKI	1	2160205	2238204	2187	7	1.59599081542824e-05	5.53162564177001e-06	9.8043000045967e-06	6.23982507915694e-07
ENST00000356575.4	MEGF6	1	3407091	3527832	4626	37	2.82745647277111e-05	9.12079525876795e-06	1.70786125718913e-05	2.07515689705188e-06
ENST00000054650.4	THAP3	1	6685278	6693137	720	5	1.3226364057248e-05	3.67014135254211e-06	8.70093360818374e-06	8.55289096522157e-07
ENST00000377828.1	ESPN	1	6485015	6520206	2565	13	1.82017319295514e-05	6.49543996992229e-06	1.09827669213542e-05	7.23525038274968e-07
ENST00000302692.6	SLC25A33	1	9599750	9642559	966	7	1.59650859168537e-05	4.3747567438537e-06	1.0318965327e-05	1.271363846e-06
ENST00000377049.3	CORT	1	10510280	10511652	318	2	6.58811916255756e-06	1.98517012430756e-06	4.054258025e-06	5.4869101325e-07
ENST00000376468.3	NPPB	1	11917711	11918890	405	3	8.30255920048097e-06	2.12813989448097e-06	5.506098946e-06	6.6832036e-07
ENST00000377223.1	LZIC	1	9990456	9996677	573	6	6.22203478812855e-06	1.48373372637854e-06	3.98594046200001e-06	7.5236059975e-07
ENST00000377346.4	PIK3CD	1	9770513	9787104	3135	22	6.59976392274001e-05	2.00952707559e-05	4.13645727690001e-05	4.5377957025e-06
ENST00000377205.1	NMNAT1	1	10032131	10042759	840	4	1.08895329513273e-05	2.7654272898273e-06	7.22723079800001e-06	8.968748635e-07
ENST00000378251.1	LRRC47	1	3697651	3713040	1752	7	1.27027024025716e-05	4.18634095988572e-06	7.92489058255345e-06	5.91470860132404e-07
ENST00000376957.2	SRM	1	11114921	11120000	909	8	1.92057216433265e-05	6.40383104740862e-06	1.15368602475318e-05	1.26503034838608e-06
ENST00000235349.5	PRAMEF4	1	12939364	12943215	1437	3	1.73682587709083e-05	4.53264364412494e-06	1.16941336224228e-05	1.14148150436057e-06
ENST00000263932.2	TNFRSF8	1	12123655	12202588	1788	15	3.8446436746572e-05	1.1854819289822e-05	2.319946528e-05	3.39215217675e-06
ENST00000377898.3	HES3	1	6304425	6305567	561	3	4.12647649587054e-06	1.39704887756315e-06	2.57723081768093e-06	1.52196800626459e-07
ENST00000376770.1	FBXO44	1	11715892	11721330	768	5	1.80648946685792e-05	5.93382073857915e-06	1.0653139032e-05	1.477934898e-06
ENST00000240185.3	TARDBP	1	11073784	11082711	1245	5	1.89337943494527e-05	5.21800803170267e-06	1.1994524038e-05	1.72126227975e-06
ENST00000355716.4	TNFRSF14	1	2488103	2494712	852	8	1.58531517354323e-05	5.17650455756678e-06	9.6392097662006e-06	1.03743741166494e-06
ENST00000377263.1	CTNNBIP1	1	9910775	9932122	246	3	3.51106550611345e-06	1.05907840261118e-06	2.07644908323606e-06	3.75538020266213e-07
ENST00000361605.3	C1orf174	1	3806523	3816750	732	4	1.3758294207347e-05	4.10316845509701e-06	8.33146458500001e-06	1.32366116725e-06
ENST00000303635.7	CAMTA1	1	6845590	7826551	5022	23	9.81704083272137e-05	3.0456919721713e-05	6.03200000360007e-05	7.39348856950001e-06
ENST00000379370.2	AGRN	1	955552	990361	6138	36	4.17498467479783e-05	1.37850490096011e-05	2.57948913232475e-05	2.1699064151297e-06
ENST00000263934.6	KIF1B	1	10292386	10436645	5313	46	8.61910746129011e-05	2.11372974354006e-05	5.47331412380005e-05	1.03206359395e-05
ENST00000262450.3	CHD5	1	6166339	6240083	5865	41	0.000120859711535838	3.8107819410837e-05	7.40768885480011e-05	8.67500357699999e-06
ENST00000505820.2	MIB2	1	1550839	1565910	3213	20	2.34976496035893e-05	7.62239500728696e-06	1.46781237764982e-05	1.19713081980415e-06
ENST00000338370.3	AURKAIP1	1	1309180	1310136	600	3	9.96623624837027e-06	2.95627870199199e-06	6.55518265725809e-06	4.5477488912019e-07
ENST00000377855.2	ACOT7	1	6324656	6445726	1143	9	2.55095417603e-05	7.86058093130003e-06	1.6061223212e-05	1.587737617e-06
ENST00000294600.2	CCDC27	1	3669045	3688087	1971	12	3.48336723787034e-05	1.05681150042034e-05	2.0703186977e-05	3.5623703975e-06
ENST00000361923.2	PER3	1	7844937	7902815	3606	21	6.15026362482047e-05	1.83886272664547e-05	3.8268450344e-05	4.84555863775001e-06
ENST00000338591.3	KLHL17	1	896073	900571	1929	12	5.38391998329427e-05	1.77520272639426e-05	3.30507213230001e-05	3.036451246e-06
ENST00000376819.3	ANGPTL7	1	11249636	11255080	1041	5	1.73631876692571e-05	4.44492292700722e-06	1.13167978979999e-05	1.60146684425e-06
ENST00000314340.5	AGTRAP	1	11796265	11810249	480	5	9.6275437821375e-06	2.7352516831375e-06	6.156339292e-06	7.35952807e-07
ENST00000540437.1	CPSF3L	1	1247238	1257333	1821	17	2.93929958488516e-05	8.88517985291905e-06	1.80910400222949e-05	2.4167759736377e-06
ENST00000377298.4	CLSTN1	1	9790565	9883791	2946	19	6.11743329820348e-05	1.99941047685347e-05	3.69362953410001e-05	4.2439328725e-06
ENST00000240189.2	PRAMEF2	1	12918864	12921634	1425	3	2.01438106554616e-05	6.01567602446163e-06	1.2754447435e-05	1.373687196e-06
ENST00000419916.2	FAM213B	1	2518234	2520866	687	7	4.94510292841466e-06	1.64032535536061e-06	3.05448083132555e-06	2.50296741728491e-07
ENST00000378466.3	PANK4	1	2440285	2458026	2322	19	5.5267777292656e-05	1.8625174327906e-05	3.3637366375e-05	3.00523658975e-06
ENST00000378785.2	ATAD3C	1	1386063	1403910	1236	12	2.95804829772107e-05	9.00179967046071e-06	1.8694926362e-05	1.88375694475e-06
ENST00000378404.2	ACTRT2	1	2938250	2939384	1134	1	2.29836484873013e-05	8.07226587580128e-06	1.4048300208e-05	8.630824035e-07
ENST00000378412.3	MMEL1	1	2522428	2560923	2340	23	5.10285447204675e-05	1.51782566962173e-05	3.07070061310002e-05	5.14328189325e-06
ENST00000309212.6	MXRA8	1	1288983	1293884	1329	10	1.07383395947063e-05	3.68045677599807e-06	6.52648950040988e-06	5.31393318298314e-07
ENST00000433179.2	C1orf170	1	911551	917497	2091	5	1.10235999695822e-05	3.50337697211915e-06	6.95083054142155e-06	5.69392456041504e-07
ENST00000327044.6	NOC2L	1	880073	894620	2250	19	4.64367463572836e-05	1.40758225840336e-05	2.8756990401e-05	3.60393337225001e-06
ENST00000378344.2	TPRG1L	1	3541636	3545167	819	5	1.86737771662682e-05	5.99022723580854e-06	1.14511675272607e-05	1.23238240319898e-06
ENST00000291386.3	SSU72	1	1477445	1509937	585	5	1.1461766543829e-05	3.61521129557896e-06	6.974103679e-06	8.7245156925e-07
ENST00000294435.7	RBP7	1	10057316	10075890	405	4	5.83397151669352e-06	1.64544442444351e-06	3.65691537900001e-06	5.3161171325e-07
ENST00000605895.1	RER1	1	2327229	2334563	591	6	1.11030006936918e-05	3.23669612319175e-06	6.55247584700001e-06	1.3138287235e-06
ENST00000378567.3	PRKCZ	1	1982069	2116448	1779	18	3.95662895196725e-05	1.30533323641724e-05	2.41279067460001e-05	2.3850504095e-06
ENST00000328089.6	SPSB1	1	9415950	9427634	822	2	1.8443178426161e-05	5.75321755816101e-06	1.143562663e-05	1.254334238e-06
ENST00000401095.3	TTC34	1	2572806	2706156	1701	7	9.5858283797818e-06	3.02991843150035e-06	6.00781028138521e-06	5.48099666896239e-07
ENST00000377782.3	TNFRSF25	1	6521493	6526167	1281	10	2.91790944695941e-05	8.85798902234412e-06	1.8290259929e-05	2.03084551825e-06
ENST00000342066.3	SAMD11	1	861321	879533	2046	13	1.29038631478037e-05	4.14797743409683e-06	7.86262717220755e-06	8.93258541499351e-07
ENST00000340381.6	TMEM201	1	9648988	9673141	2001	11	2.02962718398476e-05	6.62109850943255e-06	1.25437387609166e-05	1.13143456949849e-06
ENST00000377939.4	RNF207	1	6266595	6279467	1905	17	1.60391200114239e-05	5.17714214871684e-06	9.67154602935149e-06	1.1904318333556e-06
ENST00000379116.5	SCNN1D	1	1216041	1226990	2409	18	1.34718683237518e-05	4.28545703377905e-06	8.26950253551753e-06	9.16908754455253e-07
ENST00000235332.4	MIIP	1	12081783	12091865	1167	9	2.31602030297946e-05	6.44417283979455e-06	1.4593378292e-05	2.122651898e-06
ENST00000378295.4	TP73	1	3598929	3649643	1911	13	4.15059981429225e-05	1.34480433894278e-05	2.57029009732015e-05	2.35505378029323e-06
ENST00000377403.2	H6PD	1	9304993	9324928	2376	4	4.8420577493526e-05	1.4725816826776e-05	3.0802580794e-05	2.89217987275e-06
ENST00000379410.3	PLEKHN1	1	901911	909955	1836	16	2.50911810792055e-05	7.80817450971469e-06	1.54135691148877e-05	1.86943745460311e-06
ENST00000377038.3	DFFA	1	10521546	10532515	996	6	1.74530535915099e-05	5.20583988825992e-06	1.0937917744e-05	1.30929595925e-06
ENST00000377411.4	GPR157	1	9164477	9189086	1008	4	1.54656397954714e-05	5.41259711912248e-06	9.38566503410895e-06	6.67377642239948e-07
ENST00000377022.3	CASZ1	1	10698998	10753946	5280	18	0.000126638679570604	4.5161824952288e-05	7.63742551578341e-05	5.10259946048208e-06
ENST00000332296.7	PRAMEF1	1	12853376	12856145	1425	3	2.05457129582474e-05	5.62441751024745e-06	1.3545686698e-05	1.37560875e-06
ENST00000377004.4	C1orf127	1	11007719	11042094	2472	12	2.64533190246528e-05	7.66649824075658e-06	1.62145498161971e-05	2.57227096769909e-06
ENST00000308647.7	ATAD3B	1	1407264	1431197	1947	16	4.76776570047245e-05	1.44979526092273e-05	2.98614995797147e-05	3.31820481578253e-06
ENST00000358136.3	VPS13D	1	12294323	12569078	13167	69	0.00019755816834605	5.06715007998028e-05	0.000125470166831997	2.141650071425e-05
ENST00000294484.6	PTCHD2	1	11561049	11596743	4179	20	9.17875817975025e-05	2.85344440715019e-05	5.76067692640006e-05	5.646368462e-06
ENST00000433342.1	C1orf167	1	11821843	11849503	4422	21	2.12591371883229e-05	5.47094497192192e-06	1.34174965143244e-05	2.37069570207652e-06
ENST00000270722.5	PRDM16	1	2985823	3350375	3831	17	9.04155529035974e-05	3.13250104793471e-05	5.44835456330003e-05	4.60699679125001e-06
ENST00000357726.4	PRAMEF12	1	12835010	12837742	1452	3	2.10731840819425e-05	5.93640245269259e-06	1.34418222729999e-05	1.69495935625e-06
ENST00000400930.4	UBE2J2	1	1190582	1203372	828	7	1.68770083523966e-05	5.65755553264657e-06	9.818254038e-06	1.40119878175e-06
ENST00000377705.5	NOL9	1	6585913	6614562	2109	12	3.94014695166485e-05	1.07852096201484e-05	2.55471964330001e-05	3.0690634635e-06
ENST00000376753.4	FBXO6	1	11728715	11733908	882	5	1.68149877597004e-05	4.67740687120038e-06	1.0329692012e-05	1.8078888765e-06
ENST00000361445.4	MTOR	1	11167541	11319466	7650	57	0.000128596506884421	3.23426000041709e-05	8.12880164009996e-05	1.496589047925e-05
ENST00000288774.3	PEX10	1	2337204	2343941	1041	6	2.15732440945535e-05	6.52281196067622e-06	1.35251411175504e-05	1.52529101632696e-06
ENST00000378755.5	ATAD3A	1	1447648	1469452	1905	16	1.60449346356629e-05	4.90273539097679e-06	9.99836319500047e-06	1.14383604968569e-06
ENST00000400809.3	CCNL2	1	1322610	1334686	1563	11	3.6978577522824e-05	1.0385468765824e-05	2.3554224677e-05	3.03888408e-06
ENST00000493678.1	PARK7	1	8022845	8045114	570	6	8.76448024459556e-06	2.32157752034556e-06	5.735646007e-06	7.0725671725e-07
ENST00000235310.3	MAD2L2	1	11734831	11740658	636	8	1.35261496250511e-05	4.09152181905109e-06	8.30411325999999e-06	1.130514546e-06
ENST00000444870.2	SMIM1	1	3691937	3692485	237	2	1.56917721992255e-06	4.86165439570842e-07	9.85647109923044e-07	9.73646704286641e-08
ENST00000400900.2	APITD1-CORT	1	10490574	10511652	495	5	8.70621196717749e-06	2.30924045992749e-06	5.248604231e-06	1.14836727625e-06
ENST00000356607.4	PEX14	1	10535023	10690044	1134	9	2.36178010651456e-05	7.68582463389563e-06	1.3729637943e-05	2.20233848825e-06
ENST00000378209.3	DFFB	1	3774167	3800305	1017	7	1.99458490720756e-05	5.56391955132559e-06	1.2939093788e-05	1.44283573275e-06
ENST00000377674.4	ZBTB48	1	6640669	6649272	2067	10	3.74493914428202e-05	1.07335268120703e-05	2.37705450969999e-05	2.94531953375e-06
ENST00000378733.4	TMEM240	1	1470738	1475726	522	4	5.16379022021858e-06	1.75539602082169e-06	3.1161199256524e-06	2.92274273744488e-07
ENST00000535591.1	PRAMEF11	1	12884799	12888523	1311	3	1.59147668734914e-05	4.25670818142637e-06	1.05661342745197e-05	1.0919244175454e-06
ENST00000343090.6	UBE4B	1	10093728	10240014	3909	28	5.92881699230079e-05	1.54728706210079e-05	3.8069307749e-05	5.74599155300001e-06
ENST00000376480.3	NPPA	1	11906065	11907741	456	3	8.00616054483355e-06	2.37030071083355e-06	5.08529805e-06	5.50561784e-07
ENST00000377658.4	KLHL21	1	6653424	6662877	1794	4	1.42997841676436e-05	4.88665348632059e-06	8.81631550531261e-06	5.96815176010376e-07
ENST00000377648.4	PHF13	1	6674126	6681697	903	4	1.82899308473384e-05	5.35945842908835e-06	1.1753712718e-05	1.17675970025e-06
ENST00000359318.5	AADACL3	1	12779479	12785963	1053	3	1.58701703968746e-05	4.51536375237455e-06	1.0398584529e-05	9.56222115500001e-07
ENST00000378531.3	MORN1	1	2252821	2322972	1494	14	1.35845192254537e-05	4.50209961893105e-06	8.17948487108949e-06	9.02934735433204e-07
ENST00000400906.1	SLC2A7	1	9063358	9086404	1539	12	2.94308448337928e-05	9.60338114259006e-06	1.78901027739905e-05	1.93736091721228e-06
ENST00000288048.5	C1orf158	1	12806378	12820884	585	4	8.80927347157072e-06	2.45524327432073e-06	5.56328785399999e-06	7.9074234325e-07
ENST00000270708.7	WRAP73	1	3547538	3566563	1383	12	2.96612626729652e-05	9.71526957671522e-06	1.7704073956e-05	2.24191914025e-06
ENST00000378230.3	CEP104	1	3731965	3768971	2778	21	4.68174191082574e-05	1.27453461777574e-05	2.9228940874e-05	4.8431320565e-06
ENST00000354700.5	ACAP3	1	1228943	1243195	2505	24	1.57085983338415e-05	5.08935090937195e-06	9.75366561474456e-06	8.65581809725032e-07
ENST00000376005.3	C1orf195	1	15494990	15497774	381	2	1.76097238669072e-06	4.38607155401808e-07	1.1356274405508e-06	1.86737790738111e-07
ENST00000326279.6	LIN28A	1	26737382	26752949	630	4	1.32428835839475e-05	4.18028216844744e-06	8.24660416800001e-06	8.159972475e-07
ENST00000264198.3	MUL1	1	20827182	20834517	1059	4	1.96496687430832e-05	5.56505151283322e-06	1.2427242632e-05	1.65737459825e-06
ENST00000375605.2	C1orf134	1	16555367	16556038	252	2	1.05245536888376e-06	2.6104085858847e-07	6.78755324842196e-07	1.12659185453091e-07
ENST00000375995.3	FHAD1	1	15632282	15656072	756	6	2.92212605127005e-05	8.57463602177964e-06	1.78633176454821e-05	2.78330684543883e-06
ENST00000375105.3	PLA2G2D	1	20440606	20445991	438	4	6.95002845866785e-06	1.73367286466784e-06	4.33184086300001e-06	8.84514731e-07
ENST00000323848.9	SRRM1	1	24969817	24998777	2715	17	4.98326321650538e-05	1.05691796013038e-05	3.1683636748e-05	7.57981581575e-06
ENST00000375535.3	MFAP2	1	17301414	17304768	552	8	3.72517621610919e-06	1.05846599726743e-06	2.29507204171725e-06	3.71638177124514e-07
ENST00000374555.3	MDS2	1	23956044	23967039	423	4	1.90041756950676e-06	5.01555000676889e-07	1.22803526288197e-06	1.70827305947903e-07
ENST00000375371.3	TAS1R2	1	19166092	19186154	2520	6	4.90403197728265e-05	1.49584394933264e-05	3.14235530500001e-05	2.6583272295e-06
ENST00000536471.1	CNR2	1	24201024	24202107	1083	1	1.52680810697107e-05	4.2257560882107e-06	9.90825488399998e-06	1.1340700975e-06
ENST00000302291.4	LUZP1	1	23415387	23420754	3231	2	4.83520718330996e-05	1.27375358893497e-05	3.07606175939999e-05	4.85391834974999e-06
ENST00000361771.3	WDTC1	1	27587545	27632874	2031	15	3.82702607828284e-05	1.03343854945784e-05	2.485576557e-05	3.08010971825e-06
ENST00000344548.3	CDC42	1	22404971	22418010	576	5	8.29074449635329e-06	2.29260101160328e-06	5.13420151800001e-06	8.6394196675e-07
ENST00000375460.3	PADI3	1	17575632	17609574	1995	16	3.5840232840064e-05	1.0458758794564e-05	2.3131200027e-05	2.2502740185e-06
ENST00000321556.4	PINK1	1	20960041	20977184	1746	8	3.87052654102956e-05	1.16334270452956e-05	2.4194222014e-05	2.877616351e-06
ENST00000294543.6	TMCO4	1	20009532	20107251	1905	13	3.59303166862436e-05	1.09226634317437e-05	2.18047646199999e-05	3.2028886345e-06
ENST00000374616.3	HNRNPR	1	23636946	23667501	1911	10	2.79442864261769e-05	6.87050559392701e-06	1.85561960809999e-05	2.51758475125e-06
ENST00000375121.2	RNF186	1	20140910	20141594	684	1	1.25055424608343e-05	3.79031698658425e-06	7.918577335e-06	7.9664813925e-07
ENST00000375436.4	RCC2	1	17735585	17765010	1569	12	3.63818574626834e-05	1.13724354676834e-05	2.1918365392e-05	3.091056603e-06
ENST00000289166.5	FAM46B	1	27332434	27339161	1278	2	2.86714896354797e-05	8.88984861111919e-06	1.85466908089658e-05	1.23495021539462e-06
ENST00000602662.1	MINOS1-NBL1	1	19981523	19983622	546	3	9.32889511702271e-06	3.13106948162605e-06	5.67388294080846e-06	5.23942694588197e-07
ENST00000375679.4	CLCNKB	1	16370987	16383411	2064	19	3.79799244733763e-05	1.10641373671263e-05	2.368856401e-05	3.22722309625e-06
ENST00000374642.3	C1QA	1	22964109	22965900	738	2	1.46668743556496e-05	4.20467556739961e-06	9.21722745499999e-06	1.24497133325e-06
ENST00000251296.1	IGSF21	1	18434622	18704820	1404	10	3.29463376102524e-05	9.65265030525243e-06	2.1192128721e-05	2.101558584e-06
ENST00000166244.3	EPHA8	1	22890128	22928234	3018	17	7.41796197563397e-05	2.24089201618396e-05	4.72863478650001e-05	4.4843517295e-06
ENST00000375448.4	PADI4	1	17634717	17690250	1992	16	3.58283788737139e-05	1.1306568673964e-05	2.20224783359999e-05	2.49933186375e-06
ENST00000375078.3	CAMK2N1	1	20810141	20811872	237	2	2.86416620258947e-06	1.04725503830067e-06	1.717483461738e-06	9.94277025507998e-08
ENST00000374632.3	EPHB2	1	23037475	23240063	2964	16	6.42340110041788e-05	1.91666455351787e-05	4.15407992810001e-05	3.526566188e-06
ENST00000375048.3	DDOST	1	20978871	20987894	1371	11	2.58101068868304e-05	8.01948868633037e-06	1.6135778662e-05	1.6548395385e-06
ENST00000374266.5	ZNF593	1	26496474	26497207	405	3	2.85195396984912e-06	7.89489465579346e-07	1.77485265498832e-06	2.87611849281453e-07
ENST00000374272.3	TRIM63	1	26378363	26393985	1062	9	1.72356424717553e-05	4.74027018925525e-06	1.095608276e-05	1.5392895225e-06
ENST00000374395.4	RCAN3	1	24840862	24861767	726	4	9.39436414886842e-06	2.88011310176238e-06	5.5978487920882e-06	9.16402255017834e-07
ENST00000375799.3	PLEKHM2	1	16011053	16060429	3060	20	2.67936738412443e-05	8.39319452931163e-06	1.64162720946823e-05	1.98420721725032e-06
ENST00000480945.1	DDI2	1	15944165	15983128	1200	9	2.08211224529006e-05	5.20190425565057e-06	1.3248491207e-05	2.37072699025e-06
ENST00000289753.1	HTR6	1	19992246	20005861	1323	3	3.25550934225071e-05	1.14806147061734e-05	2.01604567071466e-05	9.14022009187203e-07
ENST00000426559.2	STMN1	1	26212213	26231167	525	4	6.94549547109444e-06	1.42899398059444e-06	4.358313484e-06	1.1581880065e-06
ENST00000322753.6	MINOS1	1	19923539	19952895	237	4	3.95453376017224e-06	1.13865289167224e-06	2.414587844e-06	4.012930245e-07
ENST00000350501.5	GRHL3	1	24646041	24690861	1881	16	3.01173940335206e-05	8.83098298052066e-06	1.91680747489999e-05	2.118336304e-06
ENST00000374276.3	SLC30A2	1	26365650	26372387	1119	8	1.94226255778026e-05	5.82628102105257e-06	1.2026852114e-05	1.56949244275e-06
